Date,Volume,Volume
1990-11-21,1688000,18750000
1990-11-23,777600,6790000
1990-11-26,2240800,16310000
1990-11-27,1745600,18560000
1990-11-28,1818400,14650000
1990-11-29,2097600,17910000
1990-11-30,2972800,27640000
1990-12-03,2638400,25280000
1990-12-04,2058400,21330000
1990-12-05,1711200,23020000
1990-12-06,2855200,35200000
1990-12-07,974400,19550000
1990-12-10,1577600,14430000
1990-12-11,1033600,14720000
1990-12-12,1732000,20790000
1990-12-13,1051200,17130000
1990-12-14,108800,16750000
1990-12-17,796800,11860000
1990-12-18,2036000,20600000
1990-12-19,1848000,19300000
1990-12-20,1584800,18550000
1990-12-21,3316800,37300000
1990-12-24,268000,5170000
1990-12-26,1317600,8310000
1990-12-27,2035200,9970000
1990-12-28,1778400,10820000
1990-12-31,852000,8760000
1991-01-02,1686400,14100000
1991-01-03,2089600,17280000
1991-01-04,1286400,20790000
1991-01-07,1645600,16980000
1991-01-08,1615200,19490000
1991-01-09,2322400,25230000
1991-01-10,1534400,14630000
1991-01-11,638400,13250000
1991-01-14,714400,16290000
1991-01-15,1845600,11710000
1991-01-16,1771200,14550000
1991-01-17,4479200,42660000
1991-01-18,2341600,45630000
1991-01-21,1631200,15670000
1991-01-22,7504800,16850000
