Date,WMT,DOW
1990-01-08,5.875,2794.370117
1990-01-09,5.71875,2766.000000
1990-01-10,5.71875,2750.639893
1990-01-11,5.78125,2760.669922
1990-01-12,5.5625,2689.209961
1990-01-15,5.484375,2669.370117
1990-01-16,5.578125,2692.620117
1990-01-17,5.515625,2659.129883
1990-01-18,5.421875,2666.379883
1990-01-19,5.4375,2677.899902
1990-01-22,5.296875,2600.449951
1990-01-23,5.296875,2615.320068
1990-01-24,5.328125,2604.500000
1990-01-25,5.234375,2561.040039
1990-01-26,5.265625,2559.229980
1990-01-29,5.296875,2553.379883
1990-01-30,5.25,2543.239990
1990-01-31,5.328125,2590.540039
1990-02-01,5.265625,2586.260010
1990-02-02,5.25,2602.699951
1990-02-05,5.21875,2622.520020
1990-02-06,5.203125,2606.310059
1990-02-07,5.34375,2640.090088
1990-02-08,5.3125,2644.370117
1990-02-09,5.453125,2648.199951
1990-02-12,5.359375,2619.139893
1990-02-13,5.375,2624.100098
1990-02-14,5.375,2624.320068
1990-02-15,5.4375,2649.550049
1990-02-16,5.359375,2635.590088
1990-02-20,5.21875,2596.850098
1990-02-21,5.203125,2583.560059
1990-02-22,5.125,2574.770020
1990-02-23,5.078125,2564.189941
1990-02-26,5.234375,2602.479980
1990-02-27,5.40625,2617.120117
1990-02-28,5.5,2627.250000
1990-03-01,5.578125,2635.590088
1990-03-02,5.640625,2660.360107
1990-03-05,5.609375,2649.550049
1990-03-06,5.71875,2676.800049
1990-03-07,5.65625,2669.590088
1990-03-08,5.765625,2696.169922
1990-03-09,5.765625,2683.330078
1990-03-12,5.8125,2686.709961
1990-03-13,5.734375,2674.550049
1990-03-14,5.78125,2687.840088
1990-03-15,5.8125,2695.719971
1990-03-16,5.90625,2741.219971
1990-03-19,5.90625,2755.629883
1990-03-20,5.859375,2738.739990
1990-03-21,5.875,2727.929932
1990-03-22,5.734375,2695.719971
1990-03-23,5.8125,2704.280029
1990-03-26,5.84375,2707.659912
1990-03-27,5.90625,2736.939941
1990-03-28,5.9375,2743.689941
1990-03-29,5.921875,2727.699951
1990-03-30,5.90625,2707.209961
1990-04-02,5.890625,2700.449951
1990-04-03,5.953125,2736.709961
1990-04-04,5.984375,2719.370117
1990-04-05,6.046875,2721.169922
1990-04-06,6.046875,2717.120117
1990-04-09,6.09375,2722.070068
1990-04-10,6.125,2731.080078
1990-04-11,6.25,2729.729980
1990-04-12,6.421875,2751.800049
1990-04-16,6.390625,2763.060059
1990-04-17,6.3125,2765.770020
1990-04-18,6.171875,2732.879883
1990-04-19,6.15625,2711.939941
1990-04-20,6.140625,2695.949951
1990-04-23,6.078125,2666.669922
1990-04-24,6.03125,2654.500000
1990-04-25,6.171875,2666.439941
1990-04-26,6.140625,2676.580078
1990-04-27,6.03125,2645.050049
1990-04-30,6.203125,2656.760010
1990-05-01,6.28125,2668.919922
1990-05-02,6.40625,2689.639893
1990-05-03,6.21875,2696.169922
