Date,UNH,DOW
1989-11-06,0.335938,2582.169922
1989-11-07,0.339844,2597.129883
1989-11-08,0.355469,2623.360107
1989-11-09,0.359375,2603.689941
1989-11-10,0.363281,2625.610107
1989-11-13,0.355469,2626.429932
1989-11-14,0.359375,2610.250000
1989-11-15,0.367188,2632.580078
1989-11-16,0.367188,2635.659912
1989-11-17,0.371094,2652.659912
1989-11-20,0.371094,2632.040039
1989-11-21,0.367188,2639.290039
1989-11-22,0.367188,2656.780029
1989-11-24,0.371094,2675.550049
1989-11-27,0.371094,2694.969971
1989-11-28,0.375,2702.010010
1989-11-29,0.375,2688.780029
1989-11-30,0.378906,2706.270020
1989-12-01,0.386719,2747.649902
1989-12-04,0.382813,2753.629883
1989-12-05,0.382813,2741.679932
1989-12-06,0.378906,2736.770020
1989-12-07,0.371094,2720.780029
1989-12-08,0.367188,2731.439941
1989-12-11,0.363281,2728.239990
1989-12-12,0.367188,2752.129883
1989-12-13,0.367188,2761.090088
1989-12-14,0.359375,2753.629883
1989-12-15,0.359375,2739.550049
1989-12-18,0.328125,2697.530029
1989-12-19,0.339844,2695.610107
1989-12-20,0.335938,2687.929932
1989-12-21,0.332031,2691.129883
1989-12-22,0.34375,2711.389893
1989-12-26,0.347656,2709.260010
1989-12-27,0.367188,2724.399902
1989-12-28,0.359375,2732.300049
1989-12-29,0.378906,2753.199951
1990-01-02,0.382813,2810.149902
1990-01-03,0.375,2809.729980
1990-01-04,0.371094,2796.080078
1990-01-05,0.355469,2773.250000
1990-01-08,0.347656,2794.370117
1990-01-09,0.339844,2766.000000
1990-01-10,0.34375,2750.639893
1990-01-11,0.335938,2760.669922
1990-01-12,0.324219,2689.209961
1990-01-15,0.332031,2669.370117
1990-01-16,0.335938,2692.620117
1990-01-17,0.335938,2659.129883
1990-01-18,0.328125,2666.379883
1990-01-19,0.328125,2677.899902
1990-01-22,0.3125,2600.449951
1990-01-23,0.296875,2615.320068
1990-01-24,0.304688,2604.500000
1990-01-25,0.308594,2561.040039
1990-01-26,0.289063,2559.229980
1990-01-29,0.269531,2553.379883
1990-01-30,0.253906,2543.239990
1990-01-31,0.289063,2590.540039
1990-02-01,0.28125,2586.260010
1990-02-02,0.289063,2602.699951
1990-02-05,0.304688,2622.520020
1990-02-06,0.3125,2606.310059
1990-02-07,0.308594,2640.090088
1990-02-08,0.300781,2644.370117
1990-02-09,0.308594,2648.199951
1990-02-12,0.3125,2619.139893
1990-02-13,0.316406,2624.100098
1990-02-14,0.3125,2624.320068
1990-02-15,0.316406,2649.550049
1990-02-16,0.316406,2635.590088
1990-02-20,0.3125,2596.850098
1990-02-21,0.3125,2583.560059
1990-02-22,0.328125,2574.770020
1990-02-23,0.328125,2564.189941
1990-02-26,0.324219,2602.479980
1990-02-27,0.304688,2617.120117
1990-02-28,0.292969,2627.250000
1990-03-01,0.285156,2635.590088
1990-03-02,0.289063,2660.360107
1990-03-05,0.289063,2649.550049
1990-03-06,0.285156,2676.800049
1990-03-07,0.304688,2669.590088
1990-03-08,0.3125,2696.169922
1990-03-09,0.3125,2683.330078
1990-03-12,0.308594,2686.709961
1990-03-13,0.308594,2674.550049
1990-03-14,0.300781,2687.840088
1990-03-15,0.292969,2695.719971
1990-03-16,0.304688,2741.219971
1990-03-19,0.296875,2755.629883
1990-03-20,0.292969,2738.739990
1990-03-21,0.296875,2727.929932
1990-03-22,0.285156,2695.719971
1990-03-23,0.296875,2704.280029
1990-03-26,0.292969,2707.659912
1990-03-27,0.308594,2736.939941
1990-03-28,0.300781,2743.689941
1990-03-29,0.304688,2727.699951
1990-03-30,0.304688,2707.209961
1990-04-02,0.308594,2700.449951
1990-04-03,0.3125,2736.709961
1990-04-04,0.3125,2719.370117
1990-04-05,0.320313,2721.169922
1990-04-06,0.324219,2717.120117
1990-04-09,0.316406,2722.070068
1990-04-10,0.308594,2731.080078
1990-04-11,0.316406,2729.729980
1990-04-12,0.328125,2751.800049
1990-04-16,0.324219,2763.060059
1990-04-17,0.324219,2765.770020
1990-04-18,0.320313,2732.879883
1990-04-19,0.320313,2711.939941
1990-04-20,0.316406,2695.949951
1990-04-23,0.3125,2666.669922
1990-04-24,0.308594,2654.500000
1990-04-25,0.316406,2666.439941
1990-04-26,0.320313,2676.580078
1990-04-27,0.3125,2645.050049
1990-04-30,0.335938,2656.760010
1990-05-01,0.351563,2668.919922
1990-05-02,0.367188,2689.639893
1990-05-03,0.359375,2696.169922
1990-05-04,0.375,2710.360107
1990-05-07,0.398438,2721.620117
1990-05-08,0.410156,2733.560059
1990-05-09,0.402344,2732.879883
1990-05-10,0.398438,2738.510010
1990-05-11,0.402344,2801.580078
1990-05-14,0.410156,2821.530029
1990-05-15,0.410156,2822.449951
1990-05-16,0.417969,2819.679932
1990-05-17,0.421875,2831.709961
1990-05-18,0.417969,2819.909912
1990-05-21,0.429688,2844.679932
1990-05-22,0.449219,2852.229980
1990-05-23,0.457031,2856.260010
1990-05-24,0.464844,2855.550049
1990-05-25,0.457031,2820.919922
1990-05-29,0.464844,2870.489990
1990-05-30,0.46875,2878.560059
1990-05-31,0.472656,2876.659912
1990-06-01,0.46875,2900.969971
1990-06-04,0.476563,2935.189941
1990-06-05,0.496094,2925.000000
1990-06-06,0.480469,2911.649902
1990-06-07,0.464844,2897.330078
1990-06-08,0.441406,2862.379883
1990-06-11,0.441406,2892.570068
1990-06-12,0.460938,2933.419922
1990-06-13,0.484375,2929.949951
